"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.495810659851799,0.664155393232664,1159460.35716667,0.75,"Croston Tuned"
0.498548849168508,0.673900226014609,1176406.91516667,0.76,"Croston Tuned"
0.5012608222422,0.684365685086311,1196215.869,0.77,"Croston Tuned"
0.504232024697367,0.69479838841757,1216892.01633333,0.78,"Croston Tuned"
0.507104657849267,0.705345736840381,1234486.133,0.79,"Croston Tuned"
0.509840551272334,0.715991352484523,1249586.61433333,0.8,"Croston Tuned"
0.512775545960767,0.72706279275443,1268148.9515,0.81,"Croston Tuned"
0.51530616139545,0.73675849192571,1285462.32283333,0.82,"Croston Tuned"
0.517935289253655,0.746748992760981,1300097.37883333,0.83,"Croston Tuned"
0.520440951431961,0.754987061482525,1320069.46883333,0.84,"Croston Tuned"
0.522609139216967,0.762504503914311,1340097.02483333,0.85,"Croston Tuned"
0.524873440727308,0.77088997346785,1356028.2525,0.86,"Croston Tuned"
0.526653722019607,0.778620328212519,1370871.3695,0.87,"Croston Tuned"
0.528382892675476,0.786268793606079,1385748.18683333,0.88,"Croston Tuned"
0.529765903790157,0.793818991778309,1401609.04266667,0.89,"Croston Tuned"
0.531129671543003,0.801205411248321,1416547.184,0.9,"Croston Tuned"
0.532261632521785,0.808608208588555,1427118.46733333,0.91,"Croston Tuned"
0.53355480236368,0.816191162501228,1439166.54816667,0.92,"Croston Tuned"
0.534847636247864,0.823544826230797,1449542.99216667,0.93,"Croston Tuned"
0.535719941204451,0.829948573487504,1460323.3225,0.94,"Croston Tuned"
0.536476503410047,0.835615316584231,1471396.348,0.95,"Croston Tuned"
0.537284230875877,0.84120017032985,1477511.5915,0.96,"Croston Tuned"
0.537756444983731,0.84660486750303,1485065.707,0.97,"Croston Tuned"
0.538164578627117,0.849945953028268,1493254.43066667,0.98,"Croston Tuned"
0.538508363643676,0.852124209767762,1497737.04133333,0.99,"Croston Tuned"
