"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.830829187200401,0.652306364729878,481123.12013,0.75,"EN-1"
0.837084112662805,0.661504366926416,492351.59431,0.76,"EN-1"
0.84311676326144,0.67063045865802,503841.0894,0.77,"EN-1"
0.849624196905712,0.679691177239684,517659.81849,0.78,"EN-1"
0.855210851906556,0.68816353747189,531421.37953,0.79,"EN-1"
0.860734842475154,0.696714345484023,548958.64626,0.8,"EN-1"
0.86628936179808,0.705435123686,561691.71965,0.81,"EN-1"
0.8714512896726,0.713744051043355,576703.71309,0.82,"EN-1"
0.877051527235046,0.722216411275561,591238.87607,0.83,"EN-1"
0.882330581126228,0.730499189372941,604384.62642,0.84,"EN-1"
0.887202281035792,0.738670833115423,618324.33516,0.85,"EN-1"
0.892039368821794,0.746940536582815,635363.45241,0.86,"EN-1"
0.896463132412534,0.755092568380315,652020.84429,0.87,"EN-1"
0.900668025022852,0.763166152397887,665808.18243,0.88,"EN-1"
0.9046513054499,0.771318184195387,682405.73553,0.89,"EN-1"
0.908377096965096,0.77896684273835,698265.90792,0.9,"EN-1"
0.912234370658153,0.786523978871398,716955.33553,0.91,"EN-1"
0.91567161051167,0.793721562679776,732255.59723,0.92,"EN-1"
0.918775510163374,0.800415773233617,747395.17705,0.93,"EN-1"
0.921578336441508,0.806920401652633,760282.74684,0.94,"EN-1"
0.92393195471484,0.812921656817112,768765.819,0.95,"EN-1"
0.926250961963024,0.818354165577114,779653.20061,0.96,"EN-1"
0.927891758584124,0.82285837560797,787006.25942,0.97,"EN-1"
0.929323707124132,0.826623869044506,794675.58599,0.98,"EN-1"
0.930362073473122,0.829644108571727,800591.77406,0.99,"EN-1"
