"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.484441708111516,0.630875560942055,1077867.947,0.75,"EN-1"
0.488246376144515,0.641635821677749,1097461.8925,0.76,"EN-1"
0.491986713650798,0.652854662779652,1117254.16616667,0.77,"EN-1"
0.495406938660314,0.663565789904681,1151216.5945,0.78,"EN-1"
0.498710371611859,0.674669985915032,1170456.5635,0.79,"EN-1"
0.501605489168836,0.685675914704052,1187974.017,0.8,"EN-1"
0.505137771783125,0.69694388941662,1206520.0115,0.81,"EN-1"
0.508492746916942,0.70878508958695,1229395.37983333,0.82,"EN-1"
0.511716065446131,0.720036686429297,1247514.26383333,0.83,"EN-1"
0.514943900456519,0.731861508729405,1265644.7405,0.84,"EN-1"
0.517531937299317,0.743538930197517,1286944.49966667,0.85,"EN-1"
0.519950517745889,0.754282813062989,1303986.12483333,0.86,"EN-1"
0.522534762698424,0.764142290936487,1325312.69433333,0.87,"EN-1"
0.525031056799025,0.773575944184218,1343144.2375,0.88,"EN-1"
0.526881406187411,0.781633856333322,1366360.83333333,0.89,"EN-1"
0.528778502593147,0.789871925054866,1389563.22716667,0.9,"EN-1"
0.53013319536483,0.797962592944414,1406199.69983333,0.91,"EN-1"
0.531703690649376,0.806086016574405,1419277.6385,0.92,"EN-1"
0.533068350392895,0.814242195944839,1433074.00416667,0.93,"EN-1"
0.534515608787473,0.822283730223722,1443817.07166667,0.94,"EN-1"
0.535768403655641,0.829801172655508,1457648.33283333,0.95,"EN-1"
0.536670424436134,0.836761767499754,1469342.64083333,0.96,"EN-1"
0.537441844313609,0.843312915588457,1478790.101,0.97,"EN-1"
0.538039535090275,0.848504700448754,1487148.348,0.98,"EN-1"
0.538468083819372,0.851894919584657,1496485.3635,0.99,"EN-1"
