"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.766900646200703,0.753893873706947,53926376.9413087,0.75,"EN-1"
0.776132970980062,0.76332635515677,55421438.3233891,0.76,"EN-1"
0.785294011056585,0.772711064248703,56962646.2508954,0.77,"EN-1"
0.794599637994196,0.782235678103028,58588607.3931608,0.78,"EN-1"
0.803784685571396,0.791684368031421,60282591.7372291,0.79,"EN-1"
0.813088391801892,0.801254195010177,62064829.9000369,0.8,"EN-1"
0.822373461216024,0.810823168911114,63933568.0328964,0.81,"EN-1"
0.831543901661577,0.820288067318077,65904770.3551985,0.82,"EN-1"
0.840760394629731,0.82981609348368,67965992.7568542,0.83,"EN-1"
0.84998214377077,0.839369711983867,70192016.2910371,0.84,"EN-1"
0.859194449645575,0.848907975083303,72517232.0768328,0.85,"EN-1"
0.868388247435183,0.85849315746281,75029905.5221055,0.86,"EN-1"
0.877664919391038,0.868144879912235,77716618.683319,0.87,"EN-1"
0.886786966095489,0.8777019107237,80618978.6426725,0.88,"EN-1"
0.896062522751292,0.887412495542668,83774910.9891592,0.89,"EN-1"
0.905148301237449,0.896971232509772,87230080.832515,0.9,"EN-1"
0.914253929784328,0.906569211056571,91035980.3581883,0.91,"EN-1"
0.923471490943816,0.916330980544707,95302716.7450434,0.92,"EN-1"
0.932524908240379,0.925951139114812,100138144.142553,0.93,"EN-1"
0.941565887648605,0.935612245420252,105689735.532834,0.94,"EN-1"
0.950646799668117,0.945350128729443,112273007.040557,0.95,"EN-1"
0.959647214144652,0.955053888925856,120310813.135233,0.96,"EN-1"
0.968746388060684,0.964927411608342,130585042.337861,0.97,"EN-1"
0.977577576631404,0.974586811758142,144071918.334897,0.98,"EN-1"
0.984333737461724,0.982027356499515,160049853.676934,0.99,"EN-1"
