"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.823085409200307,0.960350245801482,210767.48209155,0.75,"ESRNN"
0.823085409200307,0.960350245801482,210791.353504272,0.76,"ESRNN"
0.823085409200307,0.960350245801482,210831.492018328,0.77,"ESRNN"
0.823168520902434,0.960356189020411,210898.581484578,0.78,"ESRNN"
0.823228386802817,0.960358665361631,210940.153042633,0.79,"ESRNN"
0.823228386802817,0.960358665361631,210956.335246911,0.8,"ESRNN"
0.823228386802817,0.960358665361631,210973.491190411,0.81,"ESRNN"
0.823250836515461,0.960361141702851,211034.638426522,0.82,"ESRNN"
0.823393018028871,0.960366094385292,211051.801200911,0.83,"ESRNN"
0.823632481630404,0.960368570726512,211131.953189022,0.84,"ESRNN"
0.823654931343047,0.960371047067732,211160.757899578,0.85,"ESRNN"
0.82371479724343,0.960373523408952,211190.712475522,0.86,"ESRNN"
0.823737246956074,0.960375999750173,211203.4356018,0.87,"ESRNN"
0.823759696668718,0.960378476091393,211214.657224856,0.88,"ESRNN"
0.823759696668718,0.960378476091393,211227.2317928,0.89,"ESRNN"
0.823759696668718,0.960378476091393,211230.8567628,0.9,"ESRNN"
0.823759696668718,0.960378476091393,211235.916294844,0.91,"ESRNN"
0.823759696668718,0.960378476091393,211237.5264004,0.92,"ESRNN"
0.823842012281745,0.960383428773833,211249.445964289,0.93,"ESRNN"
0.823842012281745,0.960383428773833,211252.623786511,0.94,"ESRNN"
0.823842012281745,0.960383428773833,211253.654524844,0.95,"ESRNN"
0.823842012281745,0.960383428773833,211254.816317067,0.96,"ESRNN"
0.823842012281745,0.960383428773833,211283.050257067,0.97,"ESRNN"
0.823842012281745,0.960383428773833,211285.3209404,0.98,"ESRNN"
0.823842012281745,0.960383428773833,211286.160567067,0.99,"ESRNN"
