"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.858138688950161,0.860013852272219,7861174.30068969,0.75,"LSTM"
0.86328614903132,0.864772778050851,8011420.62623076,0.76,"LSTM"
0.86821481422599,0.869129541087627,8165778.10595969,0.77,"LSTM"
0.873980302018703,0.873709727869878,8323499.49280102,0.78,"LSTM"
0.879799373310133,0.878401626524867,8487484.72048757,0.79,"LSTM"
0.884558094774889,0.882635506501631,8652725.59590451,0.8,"LSTM"
0.889588560764456,0.886791188167478,8816353.96849155,0.81,"LSTM"
0.894114614292228,0.890410652844184,8997472.6123998,0.82,"LSTM"
0.89921054434613,0.894365253139104,9196146.80030026,0.83,"LSTM"
0.904197793382464,0.898587961928594,9398989.79612627,0.84,"LSTM"
0.909598682422257,0.902754814781715,9601132.46248844,0.85,"LSTM"
0.913956407981387,0.906385450645695,9801818.98638398,0.86,"LSTM"
0.917937904382033,0.909792662764199,10012504.3470671,0.87,"LSTM"
0.922400847637893,0.913266902006345,10236107.2353512,0.88,"LSTM"
0.926321382086665,0.916473032753921,10456024.7359362,0.89,"LSTM"
0.930100948787559,0.919645649939676,10684301.2256566,0.9,"LSTM"
0.933327642049673,0.922438446758121,10908517.0321995,0.91,"LSTM"
0.936916864257466,0.925231243576567,11139417.5263886,0.92,"LSTM"
0.940092612487589,0.92795701327137,11373202.5082761,0.93,"LSTM"
0.942856007969362,0.930314133786139,11592054.3049245,0.94,"LSTM"
0.944566075459854,0.931844586442647,11810806.9282348,0.95,"LSTM"
0.94599995487753,0.933274498413691,12000020.7425486,0.96,"LSTM"
0.947048488513705,0.934201706957415,12143835.4363503,0.97,"LSTM"
0.947478081966424,0.934615040886545,12243746.2345585,0.98,"LSTM"
0.947558192690825,0.934693239197462,12277209.2627356,0.99,"LSTM"
