"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.9305777246743,0.83140264630511,803583.87979,0.75,"LSTM"
0.930579014996881,0.831409183620104,803601.30242,0.76,"LSTM"
0.930591119451566,0.831428795565086,803659.22314,0.77,"LSTM"
0.930612409774146,0.831441870195073,803688.09764,0.78,"LSTM"
0.930613700096727,0.831448407510067,803703.51358,0.79,"LSTM"
0.930614990419308,0.831454944825061,803756.7691,0.8,"LSTM"
0.930616280741888,0.831461482140055,804141.3374,0.81,"LSTM"
0.930617571064469,0.831468019455049,804156.81012,0.82,"LSTM"
0.930632194720383,0.831487631400031,804249.59793,0.83,"LSTM"
0.930653485042964,0.831507243345013,804280.89178,0.84,"LSTM"
0.930663108698878,0.831520317975001,804297.70894,0.85,"LSTM"
0.930741073959423,0.831553004549971,804320.77496,0.86,"LSTM"
0.930762364282004,0.831566079179959,804533.64789,0.87,"LSTM"
0.930807167149388,0.831598765754929,804610.91853,0.88,"LSTM"
0.93083050875402,0.831618377699911,804631.9837,0.89,"LSTM"
0.930833089399181,0.831631452329899,804648.85715,0.9,"LSTM"
0.930855670044342,0.831657601589875,804681.32342,0.91,"LSTM"
0.93086491735617,0.831677213534857,804731.51915,0.92,"LSTM"
0.930871584022837,0.831683750849851,804757.89576,0.93,"LSTM"
0.930871584022837,0.831683750849851,804798.44452,0.94,"LSTM"
0.930916584022837,0.831709900109827,804886.40686,0.95,"LSTM"
0.930936584022837,0.831722974739815,804952.98359,0.96,"LSTM"
0.930986968638221,0.831749123999791,805005.93767,0.97,"LSTM"
0.931013635304888,0.831762198629779,805058.53826,0.98,"LSTM"
0.931055686586939,0.831788347889755,805161.18965,0.99,"LSTM"
