"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.799908221593066,0.935638638657475,199750.951743628,0.75,"LSTM"
0.800354271038248,0.936023462083099,200125.750746194,0.76,"LSTM"
0.800774339440066,0.936400113582696,200498.978592378,0.77,"LSTM"
0.801187235162275,0.936841645222264,200838.172264222,0.78,"LSTM"
0.801664767150278,0.937295310933811,201189.488392139,0.79,"LSTM"
0.802042567851217,0.937769109299478,201526.249726633,0.8,"LSTM"
0.802358677507429,0.938234834792767,201847.773748744,0.81,"LSTM"
0.802762962646386,0.938707815965832,202167.687732783,0.82,"LSTM"
0.803236029562826,0.939228664814684,202446.1043844,0.83,"LSTM"
0.803685902173018,0.939733120284658,202707.409264744,0.84,"LSTM"
0.804445971932955,0.940161527315758,202919.542439172,0.85,"LSTM"
0.805155758662313,0.940609274571788,203131.948493761,0.86,"LSTM"
0.805661407443353,0.941101249282012,203345.577471894,0.87,"LSTM"
0.806367650806381,0.941562665941578,203613.222374444,0.88,"LSTM"
0.806708504365385,0.941874189667084,203841.4731886,0.89,"LSTM"
0.807069530241689,0.942188685002053,204038.043658567,0.9,"LSTM"
0.807429707303749,0.942305073039404,204236.016599789,0.91,"LSTM"
0.807611497572829,0.942552707161428,204442.281721761,0.92,"LSTM"
0.807897720207084,0.942927129953927,204627.689044606,0.93,"LSTM"
0.808451375542279,0.943372425632149,204813.357232728,0.94,"LSTM"
0.809294463795532,0.943677510870482,205039.520949933,0.95,"LSTM"
0.809614409902556,0.943819900490645,205228.877780161,0.96,"LSTM"
0.810206329790176,0.943973557463361,205461.070350128,0.97,"LSTM"
0.810575295139991,0.944109756230474,205775.139890006,0.98,"LSTM"
0.811175633917676,0.944265765727349,206277.884658161,0.99,"LSTM"
