"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.769710661819065,0.76178306305237,27350164.7989029,0.75,"TSB"
0.78220764122508,0.774374743443276,28117042.697423,0.76,"TSB"
0.794475559004693,0.78675623278288,28910294.7265561,0.77,"TSB"
0.806665708565075,0.799187178840438,29734616.2777681,0.78,"TSB"
0.818559996181675,0.811269455036425,30587000.3815683,0.79,"TSB"
0.830665129630494,0.823581704970895,31495027.451016,0.8,"TSB"
0.842636478588397,0.835807405648946,32442498.9286315,0.81,"TSB"
0.854498703943791,0.847931720055194,33455146.7752495,0.82,"TSB"
0.865973540069323,0.859670272061405,34500380.2036026,0.83,"TSB"
0.87738864551605,0.871389041380436,35623563.7939029,0.84,"TSB"
0.888780991206857,0.883112756371262,36825388.6780325,0.85,"TSB"
0.899580494844601,0.894200952536388,38096421.5794411,0.86,"TSB"
0.910348076543581,0.905347260345109,39465020.2177202,0.87,"TSB"
0.920739876315615,0.91608060455892,40955583.9525941,0.88,"TSB"
0.930752006924653,0.926483825180393,42555538.537806,0.89,"TSB"
0.940478796373946,0.936613797435175,44327281.2222139,0.9,"TSB"
0.949725149863104,0.946275167287349,46269488.4070631,0.91,"TSB"
0.958408815503052,0.955387567570241,48451079.8826764,0.92,"TSB"
0.966580578523863,0.964009109927447,50913905.3645946,0.93,"TSB"
0.973960981718582,0.971846763305094,53723822.8830396,0.94,"TSB"
0.980483611936165,0.978802850685223,56939823.8429498,0.95,"TSB"
0.985706851089145,0.984418661008818,60487094.5625478,0.96,"TSB"
0.989237718201317,0.988244138142505,63995243.7677842,0.97,"TSB"
0.990818494869533,0.989968941181125,66798409.790886,0.98,"TSB"
0.991181753560377,0.990373249850393,68223619.6869381,0.99,"TSB"
