"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.783718236624531,0.643023377438419,412445.11883,0.75,"WILLEMAIN"
0.788854274603002,0.652705140944511,424267.84211,0.76,"WILLEMAIN"
0.79510916047186,0.66241305371058,437093.21229,0.77,"WILLEMAIN"
0.800784489279318,0.672042518696721,450113.86708,0.78,"WILLEMAIN"
0.806029552922119,0.681332043303175,462652.96875,0.79,"WILLEMAIN"
0.811329694222888,0.690347000679881,477749.50038,0.8,"WILLEMAIN"
0.817216531830933,0.69992416714607,492853.88515,0.81,"WILLEMAIN"
0.822330086324114,0.709069870822656,507571.77307,0.82,"WILLEMAIN"
0.82798199407245,0.718705873123791,524323.96645,0.83,"WILLEMAIN"
0.834339295547073,0.728439935149835,542043.21263,0.84,"WILLEMAIN"
0.839838886159287,0.737840594111187,563054.98811,0.85,"WILLEMAIN"
0.84508233225567,0.746384864808326,582193.63036,0.86,"WILLEMAIN"
0.850091794996101,0.754464986140892,602800.00768,0.87,"WILLEMAIN"
0.854872027233812,0.761963286438994,623558.18075,0.88,"WILLEMAIN"
0.860170661383792,0.768997437372522,644102.50153,0.89,"WILLEMAIN"
0.864427211646023,0.775260185136761,666376.63601,0.9,"WILLEMAIN"
0.868149357497357,0.780614246116835,684702.96354,0.91,"WILLEMAIN"
0.871241600673896,0.785085769572721,701214.51027,0.92,"WILLEMAIN"
0.873920226834462,0.789066994404058,716667.97633,0.93,"WILLEMAIN"
0.875621829062248,0.792048010041316,729427.47847,0.94,"WILLEMAIN"
0.8772750292608,0.794492965849066,741995.15428,0.95,"WILLEMAIN"
0.878578814030516,0.7963038021024,752396.57935,0.96,"WILLEMAIN"
0.879392927097275,0.797140578421631,761557.0915,0.97,"WILLEMAIN"
0.879741162895847,0.797624339731186,767483.2673,0.98,"WILLEMAIN"
0.879991113936058,0.797990429370849,769844.15093,0.99,"WILLEMAIN"
