"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.796577457121466,0.790064275780569,41140794.149334,0.75,"WILLEMAIN"
0.805407765488528,0.799038205178091,42029980.0988061,0.76,"WILLEMAIN"
0.814306241831763,0.808036454167477,42954284.1488308,0.77,"WILLEMAIN"
0.823074919782836,0.816929318258789,43913604.8182694,0.78,"WILLEMAIN"
0.83169088611376,0.82567986770142,44889721.3813461,0.79,"WILLEMAIN"
0.840328498537544,0.834498872291518,45926014.7379225,0.8,"WILLEMAIN"
0.84890445101817,0.843235010124156,46986615.3084097,0.81,"WILLEMAIN"
0.857498404862956,0.851971147956794,48116341.8891546,0.82,"WILLEMAIN"
0.865991227525927,0.860637029190716,49292912.22213,0.83,"WILLEMAIN"
0.87442377481052,0.869293903168393,50522130.4587904,0.84,"WILLEMAIN"
0.882734303091932,0.877769731295532,51825990.9820391,0.85,"WILLEMAIN"
0.891121931752762,0.886366256656362,53212848.085943,0.86,"WILLEMAIN"
0.899403405000307,0.894894326869726,54681354.1923757,0.87,"WILLEMAIN"
0.907471668569575,0.903168392456963,56253767.9217909,0.88,"WILLEMAIN"
0.915689411456567,0.911626206071611,57949952.714492,0.89,"WILLEMAIN"
0.923756675849302,0.919959719550069,59793561.094878,0.9,"WILLEMAIN"
0.931778675304879,0.928238288765429,61794224.7342544,0.91,"WILLEMAIN"
0.939740733322089,0.936501545645172,64029551.4641429,0.92,"WILLEMAIN"
0.947612582486133,0.944656715449967,66519838.0796414,0.93,"WILLEMAIN"
0.955405908247221,0.952766848973533,69373912.742969,0.94,"WILLEMAIN"
0.963030798621537,0.96073106494592,72690659.5550298,0.95,"WILLEMAIN"
0.970542599332177,0.968600704727729,76699503.122376,0.96,"WILLEMAIN"
0.978014569798372,0.976470344509537,81780046.8543117,0.97,"WILLEMAIN"
0.985163823643912,0.984036439755867,88622380.911401,0.98,"WILLEMAIN"
0.990702709756984,0.989964115091117,97839663.6655186,0.99,"WILLEMAIN"
